"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2022,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.2712,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.2783,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.2264,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.2248,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.2557,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.2861,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.3652,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.4416,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.4586,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.4767,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.5487,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.6379,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.708,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.741,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.7803,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.8429,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.9069,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.9913,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.0144,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.0068,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.0197,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.053,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.0605,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.0258,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.9962,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",100.9874,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",100.9894,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",100.9391,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.8714,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.7763,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.6618,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.5578,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.4949,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.5547,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.6465,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.6787,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.6568,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.5687,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.441,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.2916,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.2758,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.3607,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.5094,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.6116,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.5472,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.1189,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.2077,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.24346,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.95435,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.11688,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.27845,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.40405,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2012-12",100.009,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-01",100.2034,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-02",100.3681,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-03",100.46,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-04",100.5023,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-05",100.5715,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-06",100.6176,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-07",100.6685,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-08",100.7453,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-09",100.8496,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-10",100.985,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-11",101.1309,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2013-12",101.2821,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-01",101.4207,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-02",101.5013,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-03",101.5465,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-04",101.6055,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-05",101.6892,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-06",101.692,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-07",101.6007,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-08",101.4526,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-09",101.3293,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-10",101.2901,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-11",101.261,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2014-12",101.2885,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.3543,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.4452,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-03",101.5458,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-04",101.5869,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-05",101.5595,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-06",101.493,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-07",101.4438,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-08",101.4057,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-09",101.2806,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-10",101.1319,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-11",101.0554,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2015-12",101.0355,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.9629,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.8889,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.8638,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.9131,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.9848,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-06",101.0755,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-07",101.1587,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-08",101.2699,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-09",101.3649,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-10",101.4424,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-11",101.4888,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.4586,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.3649,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.2704,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.3035,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.4203,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.5673,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.7008,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.7967,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.8721,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.9685,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-10",102.0565,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-11",102.0758,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2017-12",102.0623,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-01",102.0697,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-02",102.0472,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.9485,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.8131,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.6893,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.594,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.558,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.6245,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.6892,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-10",101.6881,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-11",101.6298,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2018-12",101.5387,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-01",101.4932,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-02",101.4828,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-03",101.4537,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-04",101.3583,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-05",101.2034,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-06",101.0289,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.9257,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.8787,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.9089,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.9253,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.9874,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.9568,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.845,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.5128,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.80067,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2020-04",99.05686,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.87323,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2020-06",99.13081,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2020-07",99.47628,
"DEU","CCI","AMPLITUD","LTRENDIDX","M","2020-08",99.8452,
